source_index,title,artist_credit,primary_artist,release_groups,isrcs,cover_art_status,apple_music_search,spotify_search,youtube_music_search,musicbrainz_release_group_search,verified_cover_page_urls
0,#YAK (You Already Know),Da Brat feat. Sage the Gemini & Eric Bellinger,Da Brat,#YAK (You Already Know),USUYG1088031,verified_cover_page_only_no_caa_asset_in_musicbrainz,https://music.apple.com/us/search?term=%23YAK+%28You+Already+Know%29+Da+Brat+feat.+Sage+the+Gemini+%26+Eric+Bellinger,https://open.spotify.com/search/%23YAK%20%28You%20Already%20Know%29%20Da%20Brat%20feat.%20Sage%20the%20Gemini%20%26%20Eric%20Bellinger,https://music.youtube.com/search?q=%23YAK+%28You+Already+Know%29+Da+Brat+feat.+Sage+the+Gemini+%26+Eric+Bellinger,https://musicbrainz.org/search?query=%23YAK+%28You+Already+Know%29&type=release_group&method=indexed,"[{""platform"": ""Apple Music"", ""url"": ""https://music.apple.com/us/album/yak-you-already-know-feat-sage-the-gemini-eric/1063913230"", ""verification_note"": ""Apple Music page verified as the album/single page and displays the cover image, but the exact Apple CDN artwork URL was not exposed in the browsed page text.""}, {""platform"": ""Spotify album"", ""url"": ""https://open.spotify.com/album/7LzMsakfw7UT4Fed8IWbuz"", ""verification_note"": ""Spotify album URL is listed on the MusicBrainz release page. Exact Spotify image asset requires Spotify oEmbed/API lookup.""}, {""platform"": ""MusicBrainz release"", ""url"": ""https://musicbrainz.org/release/2987a21b-2345-4c5e-aa9b-84eab93bc2e5"", ""verification_note"": ""MusicBrainz release page says Cover art (0) / No images available.""}]"
1,2 Piece,"Mally Mall feat. Migos, Eric Bellinger, Jeremih & Jazz Lazer",Mally Mall,Triple X-Mas,USUYG1087260,needs_api_verification,https://music.apple.com/us/search?term=2+Piece+Mally+Mall+feat.+Migos%2C+Eric+Bellinger%2C+Jeremih+%26+Jazz+Lazer,https://open.spotify.com/search/2%20Piece%20Mally%20Mall%20feat.%20Migos%2C%20Eric%20Bellinger%2C%20Jeremih%20%26%20Jazz%20Lazer,https://music.youtube.com/search?q=2+Piece+Mally+Mall+feat.+Migos%2C+Eric+Bellinger%2C+Jeremih+%26+Jazz+Lazer,https://musicbrainz.org/search?query=Triple+X-Mas&type=release_group&method=indexed,[]
2,4 Digits,DJ Mustard feat. Fabolous & Eric Bellinger,DJ Mustard,10 Summers,,needs_api_verification,https://music.apple.com/us/search?term=4+Digits+DJ+Mustard+feat.+Fabolous+%26+Eric+Bellinger,https://open.spotify.com/search/4%20Digits%20DJ%20Mustard%20feat.%20Fabolous%20%26%20Eric%20Bellinger,https://music.youtube.com/search?q=4+Digits+DJ+Mustard+feat.+Fabolous+%26+Eric+Bellinger,https://musicbrainz.org/search?query=10+Summers&type=release_group&method=indexed,[]
3,4 Digits,"Mustard, Fabolous & Eric Bellinger",Mustard,2010s RAP HITS : 2010 - 2014 Era,QMJMT1400119,needs_api_verification,https://music.apple.com/us/search?term=4+Digits+Mustard%2C+Fabolous+%26+Eric+Bellinger,https://open.spotify.com/search/4%20Digits%20Mustard%2C%20Fabolous%20%26%20Eric%20Bellinger,https://music.youtube.com/search?q=4+Digits+Mustard%2C+Fabolous+%26+Eric+Bellinger,https://musicbrainz.org/search?query=2010s+RAP+HITS+%3A+2010+-+2014+Era&type=release_group&method=indexed,[]
4,Action,Nef the Pharaoh feat. Ty Dolla $ign & Eric Bellinger,Nef the Pharaoh,Neffy Got Wings,USUYG1091796,needs_api_verification,https://music.apple.com/us/search?term=Action+Nef+the+Pharaoh+feat.+Ty+Dolla+%24ign+%26+Eric+Bellinger,https://open.spotify.com/search/Action%20Nef%20the%20Pharaoh%20feat.%20Ty%20Dolla%20%24ign%20%26%20Eric%20Bellinger,https://music.youtube.com/search?q=Action+Nef+the+Pharaoh+feat.+Ty+Dolla+%24ign+%26+Eric+Bellinger,https://musicbrainz.org/search?query=Neffy+Got+Wings&type=release_group&method=indexed,[]
5,Alive,Kemba feat. Eric Bellinger,Kemba,Gilda,,needs_api_verification,https://music.apple.com/us/search?term=Alive+Kemba+feat.+Eric+Bellinger,https://open.spotify.com/search/Alive%20Kemba%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Alive+Kemba+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=Gilda&type=release_group&method=indexed,[]
6,Anyway,"DJ Carisma feat. Tory Lanez, Sage the Gemini, Eric Bellinger & Mishon",DJ Carisma,Anyway,,needs_api_verification,https://music.apple.com/us/search?term=Anyway+DJ+Carisma+feat.+Tory+Lanez%2C+Sage+the+Gemini%2C+Eric+Bellinger+%26+Mishon,https://open.spotify.com/search/Anyway%20DJ%20Carisma%20feat.%20Tory%20Lanez%2C%20Sage%20the%20Gemini%2C%20Eric%20Bellinger%20%26%20Mishon,https://music.youtube.com/search?q=Anyway+DJ+Carisma+feat.+Tory+Lanez%2C+Sage+the+Gemini%2C+Eric+Bellinger+%26+Mishon,https://musicbrainz.org/search?query=Anyway&type=release_group&method=indexed,[]
7,Anyway,"DJ Carisma feat. Tory Lanez, Sage the Gemini, Eric Bellinger & Mishon",DJ Carisma,Anyway,,needs_api_verification,https://music.apple.com/us/search?term=Anyway+DJ+Carisma+feat.+Tory+Lanez%2C+Sage+the+Gemini%2C+Eric+Bellinger+%26+Mishon,https://open.spotify.com/search/Anyway%20DJ%20Carisma%20feat.%20Tory%20Lanez%2C%20Sage%20the%20Gemini%2C%20Eric%20Bellinger%20%26%20Mishon,https://music.youtube.com/search?q=Anyway+DJ+Carisma+feat.+Tory+Lanez%2C+Sage+the+Gemini%2C+Eric+Bellinger+%26+Mishon,https://musicbrainz.org/search?query=Anyway&type=release_group&method=indexed,[]
8,April 21st,G Perico feat. Eric Bellinger,G Perico,Blue T-Shirt Leaks,,needs_api_verification,https://music.apple.com/us/search?term=April+21st+G+Perico+feat.+Eric+Bellinger,https://open.spotify.com/search/April%2021st%20G%20Perico%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=April+21st+G+Perico+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=Blue+T-Shirt+Leaks&type=release_group&method=indexed,[]
9,Back It Up,BJ the Chicago Kid & Eric Bellinger,BJ the Chicago Kid,1123,USUYG1250781,needs_api_verification,https://music.apple.com/us/search?term=Back+It+Up+BJ+the+Chicago+Kid+%26+Eric+Bellinger,https://open.spotify.com/search/Back%20It%20Up%20BJ%20the%20Chicago%20Kid%20%26%20Eric%20Bellinger,https://music.youtube.com/search?q=Back+It+Up+BJ+the+Chicago+Kid+%26+Eric+Bellinger,https://musicbrainz.org/search?query=1123&type=release_group&method=indexed,[]
